model,best_params,cv_roc_auc,val_roc_auc,val_accuracy,val_f1_macro,val_log_loss
logreg,"{'C': 0.01, 'penalty': 'l2'}",0.622128913276633,0.6396737899267537,0.5983550376970528,0.5889231863989538,0.6611102005094623
knn,"{'n_neighbors': 31, 'weights': 'distance'}",0.6769634347708927,0.7314005512346146,0.6634681288553804,0.6582667113807739,0.6084860461624219
decision_tree,"{'max_depth': 8, 'min_samples_leaf': 5}",0.6911279313512948,0.73642112814317,0.6792323509252913,0.6604668647739071,0.7174606231605151
random_forest,"{'max_depth': 8, 'min_samples_leaf': 1, 'n_estimators': 200}",0.7187643319377506,0.7608132598353847,0.6874571624400274,0.6725801689009626,0.5966017114100447
gbdt,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 100}",0.7088582864586646,0.7659763648720079,0.6997943797121315,0.694559793518784,0.5846175993597199
